0006641040;        2003,2004,2005,2007,2008,2009,2010,2011,2012;        5.0,4.33,3.25,4.5,4.0,5.0,5.0,4.17,4.0
141278509X;        2012;        5.0
2734888454;        2007;        3.5
2841233731;        2012;        5.0
7310172001;        2005,2006,2007,2008,2009,2010,2011,2012;        3.5,5.0,4.91,4.55,4.69,4.77,4.78,4.79
7310172101;        2005,2006,2007,2008,2009,2010,2011,2012;        3.5,5.0,4.91,4.55,4.69,4.77,4.78,4.79
7800648702;        2012;        4.0
9376674501;        2011;        5.0
B00002N8SM;        2007,2008,2009,2010,2011,2012;        2.0,1.0,2.5,1.25,2.25,1.56
B00002NCJC;        2010;        4.5

...

B009RSR8HO;        2012;        5.0
B009SA5NNW;        2011,2012;        3.5,4.0
B009SF0TN6;        2012;        5.0
B009SMKESO;        2011;        4.0
B009SR4OQ2;        2012;        5.0
B009UOFTUI;        2012;        1.0
B009UOFU20;        2012;        1.0
B009UUS05I;        2012;        5.0
B009WSNWC4;        2012;        5.0
B009WVB40S;        2012;        5.0
